 /features         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)     INR-TSS     REdens1     REdens2
   3.47025  -0.78816   4.06740   0.68704   0.67522   0.19174   0.04328   0.01144   0.19025   0.32429   0.10979   1.59181   0.11868         1
   2.64383  -5.42955   3.22897   0.55244   1.15841   0.18960   0.07450   0.01420   0.09232   0.23419   0.04000   3.66875   2.08203         1
   2.95064   6.19373   2.70096   0.61233   0.57812   0.23140   0.03976   0.01617   0.19025   0.31256   0.13246   6.46688   6.72262         1
   7.15248   9.87644   3.76160   0.65334   0.78215   0.20174   0.06542   0.01347   0.30434   0.31256   0.12538   4.75782   7.23918         1
   0.52897   0.90677   3.28355   0.56570   0.68645   0.18156   0.05289   0.01009   0.30434   0.32429   0.04000   0.94705   0.94053         1
   4.67368   6.37152   3.92246   0.66762   1.09662   0.21610   0.08412   0.01632   0.15426   0.23419   0.13053   3.55777   5.60733         1
   0.74424  -2.01448   3.19245   0.63877   1.06171   0.18383   0.06025   0.01346   0.30434   0.32429   0.04000   7.14815   1.90949         1
   0.48828   8.20815   2.48297   0.57298   0.78123   0.18798   0.03858   0.01287   0.19520   0.31256   0.04000   7.76200   5.92045         1
   4.36657   5.02347   3.92246   0.63217   0.49358   0.19834   0.02970   0.01592   0.30434   0.32429   0.20093   1.39880   6.26982         1
  -3.85508  -6.77638   4.45508   0.53042   0.54743   0.17410   0.03021   0.00943   0.30434   0.32429   0.04000   6.34507   8.54825         1
   5.57690   7.83164   4.27361   0.63628   1.46986   0.21620   0.05938   0.01846   0.19520   0.10249   0.14081   6.27099   3.99505         1
   1.99769  -0.86224   3.24703   0.66737   0.64579   0.15539   0.05187   0.00897   0.30434   0.23419   0.04000   3.52895   7.55347         1
  -5.85439   0.26374   3.88593   0.51208   0.78497   0.14630   0.03796   0.00901   0.30434   0.32429   0.04000   5.88185   1.21609         1
  -1.03778   5.78428   3.76160   0.50800   0.77548   0.15351   0.05526   0.00858   0.19520   0.32429   0.04000   6.46896   6.44041         1
   3.97663   6.80470  -6.36100   0.85794   0.92588   0.20761   0.08127   0.01575   0.15426   0.23419   0.12538   8.61880   6.95214         1
   5.25697   6.82367   3.76160   0.60335   1.02869   0.18302   0.07534   0.01042   0.15426   0.23419   0.20093   8.71296   4.63876         1
   1.84065   8.98635   2.51949   0.60828   0.84223   0.26694   0.05976   0.02251   0.09232   0.10249   0.04000   6.72861   6.61398         1
   4.39371   8.90350   3.76160   0.63969   0.64943   0.27815   0.03963   0.02846   0.19025   0.23419   0.13246   1.30399   0.95775         1
   1.36355   8.61205   4.06740   0.60588   0.79685   0.25589   0.05933   0.02098   0.19520   0.31256   0.04000   5.67019   5.02100         1
   0.51906   4.55990   1.97096   0.60725   0.66827   0.19802   0.04568   0.01244   0.30434   0.31256   0.04000   1.01109   1.28378         1
   3.87899   7.71064  -6.48647   0.66161   1.13911   0.27010   0.09207   0.03043   0.15426   0.23419   0.13053   7.58581   6.44419         1
   3.33054   8.96521  -6.17954   0.63856   0.69054   0.32169   0.04380   0.03585   0.15426   0.23419   0.20093   4.94979   6.60551         1
   5.39934   9.87644   1.84407   0.71772   1.02093   0.28043   0.07552   0.03325   0.04577   0.10249   0.13053   7.57851   5.22757         1
   4.93468   8.27219   3.28355   0.69975   1.49451   0.24898   0.21275   0.02184   0.15426   0.23419   0.13053   7.07720   8.83529         1
   4.41135   5.91461   4.27361   0.84690   0.74497   0.19683   0.06559   0.01239   0.30434   0.31256   0.20093   2.91301   0.91719         1
   2.02602   8.50165   4.27361   0.55704   0.75995   0.25372   0.05875   0.03365   0.19025   0.32429   0.04000   5.51239   2.17775         1
   0.77165  -5.52471   3.54360   0.56021   0.95438   0.20193   0.04093   0.01421   0.19025   0.31256   0.04000   6.98174   6.69027         1
  -0.91463   7.38347   4.10392   0.58471   0.70816   0.24755   0.05189   0.02353   0.30434   0.31256   0.04000   5.35941   1.75535         1
  -1.84780 -11.36756   3.54360   0.64522   0.59373   0.18737   0.03320   0.01230   0.30434   0.32429   0.04000   0.96635   1.59846         1
  -1.90935   4.44547   3.28355   0.53909   0.95414   0.21296   0.08285   0.01528   0.19025   0.31256   0.04000   3.29082   5.33099         1
  -1.91436   5.19176   4.41855   0.56457   1.00504   0.25368   0.08272   0.02005   0.19025   0.23419   0.04000   2.42084   1.39645         1
  -3.83138  -0.22726   4.27361   0.52012   0.62874   0.16422   0.04440   0.00913   0.30434   0.32429   0.04000   0.40010   0.67345         1
   0.84313 -10.64252   2.17717   0.65607   0.86956   0.19754   0.04312   0.01385   0.30434   0.32429   0.04000   6.11268   6.41602         1
   5.00267  -6.92159   2.17717   0.63642   1.17004   0.21501   0.07742   0.01736   0.19025   0.31256   0.10979   2.44509   0.11359         1
  -0.22757  -2.24566   2.83412   0.59127   0.56476   0.22572   0.03526   0.01768   0.30434   0.32429   0.04000   0.69888   0.84598         1
   5.74073   3.76398   4.27361   0.57735   0.86872   0.18133   0.07177   0.01410   0.30434   0.32429   0.13246   2.48944   2.55438         1
   4.43528   6.85164  -6.58116   0.89052   1.33174   0.27278   0.17656   0.02280   0.09232   0.02295   0.10979   2.38237   0.31299         1
  -4.06514   8.50165   3.22897   0.62702   0.87462   0.24861   0.07656   0.02540   0.19520   0.31256   0.04000   7.93036   8.11790         1
   2.29544   9.52813   3.37392   0.66161   0.76910   0.28822   0.05721   0.03040   0.19520   0.31256   0.04000   1.93532   4.89920         1
  -2.10012  -4.78265   3.54360   0.61903   0.60658   0.17518   0.03815   0.01091   0.30434   0.32429   0.04000   1.31299   1.63654         1
   5.22283   7.60081   3.37392   0.75874   1.51100   0.31489   0.14299   0.03328   0.01474   0.02295   0.13053  10.51239   7.68754         1
   4.83066   9.25180   3.92246   0.66684   1.44430   0.18547   0.07343   0.01568   0.19025   0.32429   0.12538   8.66288   7.47848         1
   5.93122   9.52813  -6.96406   0.74780   1.18099   0.29274   0.05907   0.02823   0.09232   0.31256   0.08696   1.48252   0.55947         1
   1.24430   6.55601   3.92246   0.60381   1.21783   0.27140   0.09025   0.02700   0.15426   0.10249   0.04000  10.37350   9.90937         1
  -5.33346   3.06122   3.22897   0.62015   0.73287   0.19834   0.04821   0.01393   0.19025   0.32429   0.04000   0.95553   0.16575         1
   6.86023 -11.49332   4.27361   0.62096   0.71711   0.18262   0.04701   0.01339   0.30434   0.31256   0.13053   4.57681   5.18336         1
   6.94571  10.43407   2.70096   0.82492   1.20607   0.30578   0.08893   0.03812   0.04577   0.02295   0.12538   8.71388   6.90571         1
   1.06646   5.90301   4.41855   0.56286   0.85333   0.23937   0.04825   0.01802   0.19025   0.32429   0.04000   1.47666   0.76069         1
   4.81193   9.87644   2.70096   0.74937   1.11544   0.28309   0.11282   0.02693   0.04577   0.23419   0.20093   7.47457   1.15793         1
  -5.76843  -7.68272   3.22897   0.58096   0.60392   0.16930   0.03762   0.01027   0.30434   0.32429   0.04000   0.50509   1.23513         1
   3.56698   8.66780   3.05212   0.65286   0.94329   0.20316   0.04559   0.01475   0.19025   0.31256   0.20093   1.85120   0.62598         1
   0.15067   9.53782   1.82601   0.69357   0.99310   0.30167   0.07173   0.03449   0.15426   0.23419   0.04000  10.63563  10.30034         1
   4.42570   9.14213   4.06740   0.77759   1.22525   0.31912   0.08502   0.03805   0.09232   0.23419   0.14081   5.86411  11.28248         1
   4.03245   6.03471   3.05212   0.61549   0.80021   0.21091   0.05621   0.01608   0.15426   0.31256   0.07314   5.36033   5.39880         1
   4.66179   7.55619   2.93240   0.68770   0.63732   0.23707   0.03422   0.01921   0.19520   0.31256   0.13053   6.16262   6.22235         1
   5.03743  10.17831   3.76160   0.75985   1.48161   0.33643   0.10737   0.04162   0.09232   0.23419   0.20093  12.74283   8.40311         1
   3.84238   9.79359   4.10392   0.68462   1.77668   0.25176   0.27476   0.02660   0.09232   0.10249   0.07314   9.43975   8.75913         1
   3.99935   5.71823   3.01559   0.58620   0.76334   0.22293   0.05055   0.01740   0.19520   0.32429   0.20093   2.09598   5.62428         1
   7.13946   5.99793   4.45508   0.62626   1.53338   0.22852   0.23794   0.01700   0.30434   0.10249   0.08696   5.75026   6.61398         1
   2.84262  -7.11747   3.58013   0.61909   0.68555   0.19092   0.05444   0.01135   0.30434   0.32429   0.20093   0.88641   0.25417         1
   6.22062   9.22098   2.59007   0.64186   1.13104   0.28884   0.08441   0.02754   0.09232   0.23419   0.13246   3.69653   3.18897         1
   4.20905   2.80956   3.76160   0.63978   0.76952   0.18820   0.04215   0.01172   0.19520   0.23419   0.08696   8.70148   4.25887         1
   3.66832   0.15224   3.37392   0.66862   0.62607   0.21845   0.03874   0.01305   0.30434   0.31256   0.13053   2.56142   1.20136         1
   2.87119   4.95414   3.58013   0.74182   0.70490   0.23871   0.04908   0.01793   0.30434   0.31256   0.08696   6.42540   0.47614         1
   2.93705 -13.42122   3.92246   0.62637   0.70561   0.19117   0.05069   0.01441   0.19025   0.10249   0.14081   1.68271   0.95879         1
   4.54390  -6.00507   2.48297   0.69202   1.21232   0.19321   0.09743   0.01205   0.15426   0.23419   0.14081   4.53573   1.67893         1
   2.82960   7.13277   4.41855   0.71480   2.06939   0.27514   0.27198   0.02482   0.09232   0.10249   0.14081   7.63615   7.39841         1
  -0.05615   3.03451   3.58013   0.57282   0.60524   0.21080   0.03801   0.01938   0.30434   0.32429   0.04000   0.00000   0.00000         1
   5.99512   7.71064   2.89587   0.66955   0.82020   0.23363   0.06147   0.01888   0.09232   0.31256   0.12538   3.82081   1.80242         1
   3.29650  -4.53417   1.84407   0.60296   1.14806   0.18140   0.08025   0.01264   0.04577   0.10249   0.20093   3.60081   2.81873         1
  -0.89374  -1.78512   3.58013   0.61941   0.72770   0.20359   0.04785   0.01323   0.30434   0.32429   0.04000   0.58503   0.50913         1
   3.68891   8.65828   2.32211   0.63003   1.59682   0.19815   0.12632   0.01522   0.09232   0.10249   0.10979  11.63458  11.19484         1
   2.28490   9.87644   4.45508   0.66262   1.00430   0.22634   0.07302   0.02206   0.19520   0.23419   0.04000   5.01682   5.25183         1
   4.72440   5.67010   4.23708   0.67635   0.68093   0.21799   0.05837   0.01836   0.19520   0.31256   0.12538   3.30060   2.44014         1
  -2.49021  -0.45033   3.19245   0.60543   0.92122   0.19692   0.05177   0.01421   0.30434   0.32429   0.04000   1.38706   0.09677         1
  -0.49047   8.58049   2.70096   0.60583   0.82551   0.27009   0.04406   0.02742   0.15426   0.32429   0.04000   0.90310   3.92919         1
  -6.34045  -6.21012   2.93240   0.61648   0.78863   0.26279   0.07043   0.01944   0.30434   0.32429   0.04000   1.29304   0.40050         1
  -1.16713   1.76261   4.45508   0.54356   0.95371   0.17066   0.04332   0.01000   0.30434   0.32429   0.04000   1.89254   1.92827         1
   0.67313   7.09788   4.06740   0.57145   0.97957   0.23772   0.07079   0.02054   0.19520   0.31256   0.04000   9.53821   8.90937         1
   0.51662   5.76853   3.22897   0.69807   0.87538   0.22804   0.07818   0.01577   0.19520   0.31256   0.04000   6.57773   5.52087         1
   3.90935   7.28855  -6.44995   0.67213   1.07977   0.18590   0.08449   0.01117   0.19025   0.32429   0.20093   3.81690   5.94549         1
   2.51935   1.36204   3.41044   0.62819   0.57073   0.23823   0.03237   0.01493   0.19025   0.32429   0.04000   3.23631   4.61724         1
   5.84703  -0.68483   4.10392   0.73320   0.83594   0.27289   0.05694   0.02056   0.09232   0.10249   0.14081   2.67749   0.43871         1
   2.25265   2.33179   3.58013   0.62149   0.66497   0.17399   0.04584   0.00943   0.30434   0.32429   0.04000   2.21596   6.48722         1
   1.49129  -4.95721   3.22897   0.56177   0.76939   0.20090   0.03991   0.01413   0.19520   0.10249   0.04000   2.95814   1.94901         1
  -0.07089   8.92374   2.51949   0.62475   0.79186   0.32662   0.05843   0.04680   0.09232   0.23419   0.04000   5.48252   6.35081         1
  -4.32325  -5.79536   3.54360   0.53650   2.36991   0.14738   0.28580   0.00868   0.19520   0.32429   0.04000   7.94431   8.49257         1
   4.00413   7.68555   2.70096   0.68843   0.66659   0.23121   0.05794   0.01579   0.30434   0.31256   0.13053   5.95279   6.67997         1
   0.25713  -9.31727   3.28355   0.69905   0.83761   0.19837   0.04454   0.01486   0.30434   0.32429   0.04000   1.88902   0.91732         1
   0.56749   9.38204   4.23708   0.60689   0.62050   0.16144   0.03514   0.01269   0.30434   0.31256   0.04000   6.76761  10.05530         1
   3.30949   9.07489   3.88593   0.63912   1.59755   0.28686   0.13039   0.02815   0.04577   0.10249   0.07314   8.18427   8.11855         1
  -1.47706   1.69818  -6.39753   0.71336   0.85124   0.16801   0.06657   0.01111   0.19025   0.31256   0.04000   2.02960   2.29578         1
   3.71003   0.80612   4.27361   0.56529   0.54400   0.17881   0.04646   0.01032   0.30434   0.31256   0.13246   6.87885   8.70253         1
  -2.20156   5.29282   2.70096   0.57371   1.07275   0.23744   0.07470   0.01954   0.19025   0.23419   0.04000   3.15754   1.50130         1
   1.61324 -14.46113   3.19245   0.59888   0.64930   0.19099   0.05130   0.01267   0.30434   0.32429   0.04000   1.82981   1.28613         1
   5.93474   6.89977   2.00748   0.56914   1.19175   0.21140   0.08691   0.01446   0.09232   0.23419   0.10979   4.22092   1.36424         1
  -0.95961   4.62255   3.58013   0.61040   0.68983   0.22996   0.04519   0.01563   0.30434   0.32429   0.04000   0.78977   0.32668         1
   1.10193   2.11225   1.78949   0.65923   0.84835   0.20371   0.05659   0.01361   0.19025   0.32429   0.04000   6.38185   7.05973         1
  -2.22370  -2.86474   3.19245   0.66269   0.85308   0.25265   0.07567   0.01797   0.30434   0.31256   0.04000   1.45123   1.99622         1
   6.43387  10.02253   3.01559   0.63019   2.71374   0.25037   0.29239   0.02325   0.09232   0.10249   0.14081   9.76852   9.82186         1
   4.42922   7.16370   3.19245   0.67456   1.18802   0.22259   0.05945   0.01736   0.19520   0.31256   0.07314   2.52269   3.01669         1
   3.87760   6.82183   3.76160   0.71758   0.80841   0.29518   0.04161   0.03355   0.09232   0.23419   0.14081   1.67853   1.56808         1
   4.34022   3.00526   2.00748   0.59408   0.84808   0.22726   0.06696   0.01719   0.09232   0.23419   0.08696   5.75652   6.91015         1
  -0.82605   4.03450   4.06740   0.63504   0.68743   0.25644   0.06120   0.01850   0.30434   0.32429   0.04000   5.50183   5.81743         1
   6.25685   7.83777   4.10392   0.76375   1.19978   0.22869   0.08067   0.01802   0.09232   0.23419   0.13053   7.67449   8.71427         1
   6.45546   6.48822   3.24703   0.69428   0.83517   0.23884   0.05934   0.02098   0.15426   0.23419   0.12538   3.93010   1.86920         1
  -2.22370  -4.36177   2.89587   0.62308   0.75596   0.26108   0.06257   0.02083   0.30434   0.32429   0.04000   1.46896   7.13811         1
  -1.03533  -8.67786   4.27361   0.57957   0.68502   0.17587   0.04151   0.01042   0.19025   0.32429   0.04000   1.22640   0.09677         1
   3.51288   6.13289   4.27361   0.72472   1.02445   0.20212   0.06411   0.01199   0.15426   0.23419   0.07314   3.34715   2.83881         1
   4.36066   9.52813   3.92246   0.70597   1.27987   0.24816   0.09175   0.02181   0.19520   0.32429   0.08696   2.19379   1.46701         1
   3.67279  -6.26789   3.41044   0.57142   0.87366   0.27033   0.04559   0.03480   0.19025   0.31256   0.13246   3.70436   5.74426         1
   5.42701   7.85187   4.23708   0.62202   0.67748   0.19943   0.04343   0.02341   0.30434   0.31256   0.13053   1.60381   2.61750         1
   2.21456   5.77532   4.41855   0.56497   0.98262   0.18005   0.06709   0.01087   0.19520   0.31256   0.04000   5.48005   5.70918         1
   3.47839   8.66780   1.97096   0.64460   1.17494   0.23423   0.06678   0.01861   0.19520   0.32429   0.20093   4.77269   6.06221         1
   0.55557   8.03365  -6.26848   0.54951   0.91817   0.20317   0.06630   0.01594   0.19025   0.23419   0.04000   4.62246   3.94510         1
   3.96757   8.90350   2.70096   0.67334   0.97252   0.23513   0.05152   0.01874   0.15426   0.10249   0.10979   9.78312  11.08034         1
  -1.54190   3.62940   3.72507   0.58737   1.48452   0.17508   0.18617   0.00998   0.15426   0.31256   0.04000   1.02008   0.40258         1
  -1.69883   6.39234   3.01559   0.56995   1.45377   0.18650   0.07813   0.01320   0.19520   0.32429   0.04000   6.81025   1.50443         1
   0.29279  -4.22231   2.59007   0.67289   0.87129   0.22504   0.05852   0.01673   0.19025   0.31256   0.04000   7.59807   8.81312         1
   2.58123   9.52813   3.19245   0.68608   1.38728   0.22912   0.21260   0.01560   0.19520   0.23419   0.04000   9.34324   9.90858         1
  -0.78478   4.91493   3.37392   0.57492   1.24144   0.19730   0.05615   0.01291   0.19025   0.31256   0.04000   5.34794   7.89893         1
   1.36152   7.43464   2.51949   0.68173   0.69938   0.24148   0.04064   0.02068   0.19520   0.23419   0.04000   6.64841   2.70905         1
   4.46231   8.22608  -6.26848   0.79522   1.95656   0.26075   0.49789   0.02420   0.19520   0.23419   0.14081   7.88563   7.14672         1
  -2.63947 -10.64558   3.19245   0.61178   0.65691   0.19208   0.04268   0.01103   0.30434   0.32429   0.04000   0.12467   0.00000         1
  -0.78933   0.69629   4.45508   0.66903   0.64622   0.22623   0.03708   0.01656   0.30434   0.31256   0.04000   0.92240   1.75913         1
   3.90584   7.36218   4.06740   0.67113   2.32004   0.24914   0.16110   0.01923   0.04577   0.10249   0.20093   9.17553   9.32773         1
   2.89530   8.75741   4.10392   0.70520   0.73817   0.27340   0.05965   0.02176   0.19520   0.31256   0.10979   2.04056   1.81951         1
   1.03885   6.09655   4.41855   0.60594   1.13930   0.17897   0.19694   0.01152   0.30434   0.32429   0.04000   7.04317   5.94184         1
  -5.83209  -5.23566   3.54360   0.58028   0.65191   0.16078   0.04680   0.00887   0.30434   0.32429   0.04000   0.00000   0.68558         1
   4.34374   4.93137   2.59007   0.68718   0.68197   0.28357   0.03956   0.02589   0.09232   0.23419   0.14081   4.02843   4.43362         1
   1.07882  -1.94364   4.06740   0.59539   0.70186   0.17997   0.05403   0.01048   0.30434   0.32429   0.04000   0.71075   0.08529         1
   4.99818   5.40577   3.28355   0.69371   0.73011   0.24615   0.05613   0.02032   0.19520   0.23419   0.08696   1.00769   2.63133         1
   5.63730   7.71064   2.51949   0.73427   4.58554   0.28734   2.59306   0.02494   0.01474   0.10249   0.13246   8.06064   7.98657         1
   2.32719   9.78389   0.79943   0.75751   2.27598   0.31476   0.18951   0.03627   0.15426   0.10249   0.04000   8.98970   6.64241         1
   5.79778  -3.01182   3.28355   0.62767   0.88215   0.26038   0.05543   0.02502   0.15426   0.10249   0.13246   6.68218   7.28457         1
  -4.10658   8.99604   3.19245   0.56144   1.25626   0.27435   0.18423   0.02804   0.19520   0.31256   0.04000   9.54486   7.79995         1
   2.01423   2.94632   2.66444   0.54975   1.18202   0.17577   0.05788   0.01101   0.19025   0.32429   0.04000   6.82851   5.88211         1
  -0.23118   4.58686   4.06740   0.65678   0.67808   0.22644   0.05466   0.01849   0.30434   0.32429   0.04000   1.02686   0.55738         1
   6.87830   5.99168   1.84407   0.69054   1.79440   0.30780   0.10346   0.02865   0.09232   0.10249   0.10979  12.12180  11.00757         1
  -3.99476   4.96107   3.72507   0.58421   0.62332   0.22150   0.03804   0.01615   0.30434   0.32429   0.04000   0.90975   0.00000         1
   1.26440  -1.00376   4.45508   0.56354   0.67261   0.18102   0.05011   0.00992   0.19520   0.32429   0.04000   4.64828   5.51970         1
  -1.58280   4.01974   4.06740   0.60227   1.38191   0.18151   0.21799   0.01104   0.30434   0.31256   0.04000   6.88759   6.71544         1
   1.47666   1.51495   3.76160   0.59130   0.74579   0.19125   0.05287   0.01009   0.30434   0.32429   0.04000   1.34246   0.60655         1
   2.05251  -5.52471   2.93240   0.68787   0.72618   0.19906   0.06390   0.01426   0.30434   0.23419   0.04000   1.76552   0.33151         1
   0.77923  -8.75782   4.23708   0.61306   0.69143   0.17694   0.04813   0.00941   0.30434   0.32429   0.04000   0.00000   0.00000         1
   5.33487   7.96773   4.10392   0.59160   1.55212   0.20508   0.11601   0.01656   0.09232   0.23419   0.07314   7.27752   7.13446         1
  -1.53453   7.78295   3.76160   0.71296   0.82038   0.26724   0.05463   0.02473   0.19520   0.31256   0.04000   2.10459   0.98513         1
   1.39278   5.39405   1.84407   0.56957   0.65698   0.19603   0.03049   0.01373   0.19025   0.31256   0.04000   8.17319   8.72523         1
   3.14661   1.11051   3.76160   0.65420   1.07762   0.17319   0.10057   0.01003   0.19520   0.23419   0.10979   2.48318   0.64658         1
  -2.02545   9.87644   3.76160   0.74742   1.20436   0.17709   0.10394   0.01160   0.30434   0.31256   0.04000   3.32551   1.22040         1
   7.15248   4.19623   3.76160   0.66658   0.84434   0.24132   0.06713   0.01547   0.15426   0.10249   0.20093   2.87102   0.54669         1
   6.43036   7.73178   3.76160   0.58318   0.63967   0.23218   0.04004   0.01861   0.19025   0.31256   0.10979   5.55868   9.16341         1
   3.61644  -8.09932   3.58013   0.64331   0.65108   0.18533   0.04713   0.01123   0.19025   0.31256   0.13246   1.14997   0.49974         1
  -3.01619  -4.57565   4.10392   0.51162   0.52180   0.16035   0.02842   0.01236   0.30434   0.32429   0.04000   5.27439   6.30803         1
   3.68813  -6.80562   3.58013   0.57639   0.87332   0.18935   0.04842   0.01113   0.19025   0.23419   0.12538   1.26891   0.00000         1
   2.67523 -27.10670   1.52944   0.74509   0.92273   0.20838   0.08354   0.01606   0.19025   0.02295   0.04000   6.92410   0.58229         1
  -0.26837   5.08185   4.10392   0.59370   2.06819   0.18647   0.12866   0.01045   0.09232   0.23419   0.04000   5.07251   1.49374         1
   4.63599   8.80943  -7.71917   0.72232   2.24125   0.32355   0.08530   0.03633   0.04577   0.10249   0.20093   8.82042   6.95592         1
   6.43387   4.01974   4.06740   0.69160   1.25193   0.27198   0.08289   0.02898   0.09232   0.10249   0.10979   8.63654   5.78247         1
  -1.52153   7.23738   3.19245   0.50779   0.72562   0.19403   0.05492   0.01299   0.19520   0.31256   0.04000   5.40362   1.36528         1
   4.03701   7.64204   1.78949   0.59093   2.93316   0.23957   0.31852   0.01724   0.09232   0.02295   0.20093  10.23135  10.78952         1
   4.11448  10.27829  -6.17954   0.59793   0.72387   0.24397   0.04305   0.02077   0.09232   0.10249   0.14081   4.04017   1.99035         1
   3.16499  -6.40679   3.58013   0.56926   0.61820   0.18492   0.03641   0.01138   0.30434   0.32429   0.13246   1.95175   3.39046         1
   2.66145   2.37529   3.72507   0.59562   0.66967   0.20811   0.03720   0.01352   0.19025   0.32429   0.04000   0.97809   0.65141         1
  -0.31696   6.50066   1.49291   0.57902   0.97650   0.23215   0.06265   0.01788   0.19025   0.32429   0.04000   5.35498   6.55817         1
  -0.51706   8.31504   3.88593   0.58664   0.97544   0.17451   0.08082   0.01196   0.15426   0.23419   0.04000   9.14815   7.77230         1
   4.59790 -15.85873   4.45508   0.57747   0.61624   0.16938   0.03328   0.01296   0.19025   0.31256   0.14081   6.01565   3.76852         1
  -1.92674   7.45933   3.72507   0.56055   0.71810   0.16771   0.04053   0.00896   0.19025   0.31256   0.04000   7.31508   7.34521         1
   4.09794   7.89780   4.41855   0.58369   0.88921   0.21765   0.05202   0.01948   0.19520   0.31256   0.14081   7.69275   8.36333         1
   2.05054  -5.38629   2.23892   0.61412   1.07607   0.18133   0.06629   0.01136   0.19520   0.23419   0.04000   6.31234   7.09207         1
   3.09460  -3.42278   3.72507   0.64550   1.17041   0.21476   0.07736   0.01312   0.19520   0.31256   0.20093   7.45018   8.35981         1
   1.42373   4.02540   3.37392   0.68481   0.88135   0.24541   0.07402   0.02096   0.30434   0.32429   0.04000   3.97796   3.95344         1
   4.67365   8.84026  -6.21606   0.66386   1.52161   0.34864   0.08893   0.04308   0.09232   0.23419   0.20093   5.10003   7.13015         1
   3.74832  -0.99153   2.00748   0.67091   0.91378   0.21310   0.05328   0.01357   0.19025   0.32429   0.08696   5.84520   6.93545         1
  -0.02473 -21.42862   2.59007   0.56542   1.11310   0.21136   0.07155   0.02758   0.30434   0.32429   0.04000   3.35016   6.85342         1
   1.37334  -0.69299   2.23892   0.63663   0.66944   0.21737   0.05143   0.01256   0.30434   0.32429   0.04000   0.61463   0.00000         1
   4.62297  10.17831   2.48297   0.73298   4.09425   0.21773   1.70241   0.01619   0.19520   0.31256   0.13246   6.87233   7.95423         1
   2.88285   6.14610   4.23708   0.59357   1.78330   0.20069   0.34882   0.01357   0.15426   0.23419   0.14081   9.92645   9.00405         1
   1.96695   8.61205   4.10392   0.66669   1.17860   0.30546   0.06191   0.03131   0.04577   0.23419   0.04000   8.52047   8.10316         1
   3.41473  -2.05725   4.41855   0.59404   0.73821   0.20399   0.04496   0.01194   0.19520   0.23419   0.20093   8.22300   7.31677         1
   3.62155   2.95678  -6.17954   0.70957   1.25565   0.21536   0.05545   0.01486   0.19520   0.23419   0.13053   7.38837   5.84951         1
   2.13694   3.84023   3.54360   0.58533   1.13160   0.17668   0.04070   0.01122   0.30434   0.32429   0.04000   6.16145   9.19210         1
   5.74424  10.02253   4.06740   0.64234   1.63299   0.32567   0.16411   0.03563   0.04577   0.10249   0.08696   9.76356   9.77465         1
  -0.86283   0.37445   3.58013   0.60684   0.57091   0.17829   0.03969   0.00997   0.30434   0.32429   0.04000   0.63159   1.17032         1
   5.43052   6.41870  -6.61768   0.72388   0.90808   0.21252   0.08700   0.01281   0.19025   0.23419   0.20093   6.00887   5.52230         1
  -0.48923   3.49365   3.22897   0.55135   0.62310   0.16966   0.03588   0.01232   0.19025   0.32429   0.04000   2.46922   6.05543         1
   3.87760  10.02253   3.76160   0.67940   1.30147   0.30588   0.07720   0.03712   0.04577   0.23419   0.07314   7.39984   5.90845         1
   0.15245   3.47564   3.28355   0.61427   0.69187   0.19591   0.06517   0.01179   0.19025   0.32429   0.04000   4.49531   0.24191         1
   4.27145   6.44609   1.84407   0.68480   0.86093   0.30719   0.07288   0.02823   0.04577   0.23419   0.13053   2.58398   1.92762         1
  -4.15675   1.96204   3.41044   0.56831   0.64947   0.18506   0.04515   0.00994   0.30434   0.32429   0.04000   1.01265   1.10785         1
   0.27114  -2.78673   4.27361   0.55126   1.00087   0.20522   0.05255   0.01278   0.30434   0.31256   0.04000   6.64684   6.88133         1
   5.00417  -7.36758   2.83412   0.60587   3.63558   0.16462   1.68262   0.01007   0.15426   0.23419   0.20093   6.13419   5.81873         1
   3.11006   5.09565   3.05212   0.64125   1.64209   0.22051   0.09361   0.01722   0.19520   0.31256   0.14081   7.20357   6.61411         1
   5.43052   9.07489  -6.44995   0.69153   1.74992   0.19517   0.09547   0.01395   0.15426   0.31256   0.20093   9.54695   9.86620         1
   4.24730   8.32603   2.00748   0.64390   2.40517   0.23758   0.39466   0.01986   0.04577   0.10249   0.20093   7.76278   6.75848         1
   3.41473   1.94396  -6.17954   0.60935   1.01254   0.20971   0.05888   0.01319   0.15426   0.23419   0.13246   7.08255   5.42110         1
   3.98881   5.52401   2.51949   0.67905   1.12028   0.21247   0.05056   0.01741   0.19520   0.23419   0.20093   9.95149   6.77478         1
   2.23510  -9.47038   2.14064   0.70397   0.64315   0.20914   0.04855   0.01407   0.30434   0.32429   0.04000   0.00000   0.67814         1
   3.48214   9.39789   3.88593   0.67470   1.51853   0.30637   0.34922   0.03153   0.15426   0.10249   0.14081   8.62389   8.17541         1
   0.12793  -9.98126   3.76160   0.51877   0.78359   0.17917   0.04185   0.01271   0.30434   0.32429   0.04000   3.91667   6.91798         1
  -0.76574  -3.74993   4.27361   0.50790   0.77558   0.15335   0.03564   0.01126   0.30434   0.32429   0.04000   9.31677  11.32852         1
   3.84238   8.76795   3.24703   0.69613   0.88107   0.24960   0.08701   0.02473   0.19025   0.32429   0.10979   2.06038   2.30790         1
