 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   3.08980  -0.98551   1.47424   3.15185   0.56028   0.80457   0.17328   0.06214   0.01105   0.21141   0.10249   0.23745   0.03981   0.04000  10.49917   6.61686         1
   3.74114   2.38026   5.70189   2.88136   0.75830   0.85362   0.31433   0.05324   0.03704   0.21141   0.31256   0.23745   0.03981   0.04000   6.90978   2.91830         1
   6.69762   2.73493  -8.82893   2.82578   0.57846   0.72469   0.15266   0.04866   0.00791   0.16217   0.32429   0.28007   0.03981   0.04000   7.03363   7.22709         1
   7.00798   3.79815   6.43372   2.90769   0.56701   1.88150   0.19912   0.10651   0.01381   0.06960   0.10249   0.06084   0.04695   0.12783  11.07435   7.03126         1
   6.75478   3.58758   7.09484   3.55086   0.57001   0.83806   0.20582   0.05550   0.01479   0.12382   0.23419   0.17448   0.01923   0.05854   9.46815   7.89439         1
   6.29737   2.37951   7.25876   4.65077   0.61288   1.92559   0.21835   0.09351   0.01924   0.06960   0.02295   0.28007   0.03981   0.04000  10.57045   3.79493         1
   7.02892  -0.59827   5.54358   2.18769   0.52240   0.64868   0.14735   0.04251   0.01095   0.22443   0.32429   0.08665   0.03981   0.04000   5.58276   5.82595         1
   8.16926   2.52775   6.76614   1.62369   0.51519   1.65756   0.14332   0.09760   0.00888   0.17898   0.23419   0.17448   0.03981   0.04000  11.12692   8.04191         1
   4.02504   1.96959  -3.19615   4.48970   0.56134   0.84572   0.19797   0.07281   0.01424   0.16217   0.31256   0.28007   0.03981   0.04000   9.44115   3.48804         1
   5.42840   2.89482   9.05838   2.34876   0.70963   1.79404   0.29214   0.14701   0.02590   0.06960   0.10249   0.17448   0.01499   0.05854   6.71750   1.40350         1
   4.01017   5.70104  -2.70724  -6.10822   0.61441   1.32831   0.19885   0.07377   0.01466   0.12382   0.02295   0.28007   0.06674   0.12783   7.16173   1.52261         1
   4.75215   5.85270   1.92718   4.38028   0.71853   0.91754   0.22508   0.07950   0.01472   0.12382   0.23419   0.17448   0.06787   0.12726  11.36893   6.96898         1
   7.02892   3.61620   8.29717   3.01711   0.64211   0.83521   0.30219   0.04171   0.04402   0.17898   0.31256   0.17448   0.05515   0.11256   8.58963   6.56618         1
   4.24331   4.18642  -3.37540   3.87693   0.71919   0.86560   0.31102   0.06035   0.02863   0.17898   0.10249   0.08665   0.06787   0.12783  10.57802   2.78238         1
   3.31001   4.96676   2.86398   3.04751   0.66978   2.50333   0.21882   0.27533   0.01620   0.12382   0.10249   0.04072   0.01923   0.11256   4.82785   1.15250         1
   5.71581   1.09312   4.13214   3.17818   0.62464   0.97576   0.23994   0.09186   0.02366   0.21141   0.23419   0.02083   0.03981   0.04000  11.95595   8.90599         1
   7.00798   7.07764   8.31748   2.18769   0.64654   1.79127   0.25211   0.37320   0.02088   0.12382   0.10249   0.28007   0.08258   0.24830  11.77741   6.26972         1
   5.97347   3.63376   0.65408   4.38028   0.62073   0.75685   0.16800   0.04799   0.00878   0.21141   0.32429   0.17448   0.05515   0.11256   9.90930   5.07980         1
   7.49221   5.94311   7.36326   3.17818   0.61369   1.19232   0.21288   0.06970   0.01641   0.17898   0.10249   0.23745   0.06787   0.12783   9.49728   5.18162         1
